[2023-02-18 23:39:44,137] INFO [Controller id=0 epoch=10] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-02-18 23:39:44,206] INFO [Controller id=0 epoch=10] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2023-02-18 23:39:44,220] INFO [Controller id=0 epoch=10] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2023-02-18 23:39:44,299] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2023-02-18 23:39:44,355] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 10 as part of the become-leader transition for 52 partitions (state.change.logger)
[2023-02-18 23:39:44,375] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,386] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,392] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,397] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,401] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,405] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,410] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,415] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,420] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,426] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,431] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,436] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,441] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 30 with partition epoch 0, high watermark 30, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,442] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,446] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,451] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,455] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,460] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,464] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,470] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,474] INFO [Broker id=0] Leader notificationItem-0 with topic id Some(gYj-iH-vQ2ykaBsWRFIckQ) starts at leader epoch 0 from offset 12 with partition epoch 0, high watermark 12, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,474] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:39:44,480] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
